Npart	Sol	Nodes	Constraint	Valid Motif_METIS	Valid Motif_Optimized	Cycle Free_METIS	Cycle Free_Optimized	T_Metis	T_Optimized	cut_Metis	cut_Optimized
4	2	21	lc	True	True	False	True	2	2	6	6
4	4	21	lc	True	True	False	True	2	2	6	6
4	6	21	lc	True	True	False	True	2	2	6	6
4	9	21	lc	True	True	False	True	2	2	6	6
4	15	21	lc	True	True	False	True	2	2	6	6
4	16	21	lc	True	True	False	True	2	2	6	6
4	19	21	lc	True	True	False	True	2	2	6	6
4	21	21	lc	True	True	False	True	2	2	6	6
4	26	21	lc	True	True	False	True	2	2	6	6
4	29	21	lc	True	True	False	True	2	2	6	6
4	34	21	lc	True	True	False	True	2	2	6	6
4	35	21	lc	True	True	False	True	2	2	6	6
4	37	21	lc	True	True	False	True	2	2	6	6
4	38	21	lc	True	True	False	True	2	2	6	6
4	54	21	lc	True	True	False	True	2	2	6	6
4	60	21	lc	True	True	False	True	2	2	6	6
4	64	21	lc	True	True	False	True	2	2	6	6
4	71	21	lc	True	True	False	True	2	2	6	6
4	82	21	lc	True	True	False	True	2	2	6	6
4	92	21	lc	True	True	False	True	2	2	6	6
4	95	21	lc	True	True	False	True	2	2	6	6
4	96	21	lc	True	True	False	True	2	2	6	6
4	104	21	lc	True	True	False	True	2	2	6	6
4	110	21	lc	True	True	False	True	2	2	6	6
4	121	21	lc	True	True	False	True	2	2	6	6
4	130	21	lc	True	True	False	True	2	2	6	6
4	136	21	lc	True	True	False	True	2	2	6	6
4	143	21	lc	True	True	False	True	2	2	6	6
4	148	21	lc	True	True	False	True	2	2	6	6
4	158	21	lc	True	True	False	True	2	2	6	6
4	182	21	lc	True	True	False	True	2	2	6	6
4	194	21	lc	True	True	False	True	2	2	6	6
4	197	21	lc	True	True	False	True	2	2	6	6
4	204	21	lc	True	True	False	True	2	2	6	6
4	208	21	lc	True	True	False	True	2	2	6	6
4	230	21	lc	True	True	False	True	2	2	6	6
4	235	21	lc	True	True	False	True	2	2	6	6
4	237	21	lc	True	True	False	True	2	2	6	6
4	238	21	lc	True	True	False	True	2	2	6	6
4	242	21	lc	True	True	False	True	2	2	6	6
4	249	21	lc	True	True	False	True	2	2	6	6
4	250	21	lc	True	True	False	True	2	2	6	6
4	253	21	lc	True	True	False	True	2	2	6	6
4	254	21	lc	True	True	False	True	2	2	6	6
4	255	21	lc	True	True	False	True	2	2	6	6
4	277	21	lc	True	True	False	True	2	2	6	6
4	290	21	lc	True	True	False	True	2	2	6	6
4	305	21	lc	True	True	False	True	2	2	6	6
4	324	21	lc	True	True	False	True	2	2	6	6
4	333	21	lc	True	True	False	True	2	2	6	6
4	400	21	lc	True	True	False	True	2	2	6	6
4	402	21	lc	True	True	False	True	2	2	6	6
3	0	21	lc	True	True	True	True	1	1	4	4
3	1	21	lc	True	True	True	True	1	1	4	4
3	2	21	lc	True	True	True	True	1	1	4	4
3	3	21	lc	True	True	True	True	1	1	4	4
5	3	21	lc	True	True	False	True	3	2	7	7
5	63	21	lc	True	True	False	True	3	2	7	7
