sol	1
T	1
cut	2
Partition 0	379,385,378,386,387,388,389
Partition 1	381,384,382,383,380
sol	2
T	1
cut	1
Partition 0	379,385,378,386,387,388,380
Partition 1	389,381,384,382,383
sol	3
T	1
cut	1
Partition 0	379,385,378,386,387
Partition 1	389,381,384,382,383,380,388
sol	4
T	1
cut	3
Partition 0	385,378,386,387,388,389
Partition 1	381,384,382,383,380,379
sol	5
T	1
cut	3
Partition 0	379,385,386,387,388,389
Partition 1	381,384,382,383,380,378
sol	6
T	1
cut	3
Partition 0	379,385,378,387,388,389
Partition 1	381,384,382,383,380,386
sol	7
T	1
cut	2
Partition 0	379,385,378,386,387,381
Partition 1	389,384,382,383,380,388
sol	8
T	1
cut	2
Partition 0	379,385,378,386,387,382
Partition 1	389,381,384,383,380,388
sol	9
T	1
cut	2
Partition 0	379,385,378,386,387,380
Partition 1	389,381,384,382,383,388
sol	10
T	1
cut	4
Partition 0	385,378,386,387,388,389,384
Partition 1	381,382,383,380,379
sol	11
T	1
cut	4
Partition 0	385,386,387,388,389
Partition 1	381,384,382,383,380,379,378
sol	12
T	1
cut	4
Partition 0	385,378,387,388,389
Partition 1	381,384,382,383,380,379,386
sol	13
T	1
cut	2
Partition 0	385,378,386,387,388,389,380
Partition 1	381,384,382,383,379
sol	14
T	1
cut	4
Partition 0	379,385,386,387,388,389,384
Partition 1	381,382,383,380,378
sol	15
T	1
cut	4
Partition 0	379,385,378,387,388,389,384
Partition 1	381,382,383,380,386
sol	16
T	1
cut	4
Partition 0	379,385,387,388,389
Partition 1	381,384,382,383,380,378,386
sol	17
T	1
cut	2
Partition 0	379,385,386,387,388,389,380
Partition 1	381,384,382,383,378
sol	18
T	1
cut	2
Partition 0	379,385,378,387,388,389,380
Partition 1	381,384,382,383,386
sol	19
T	1
cut	3
Partition 0	379,385,378,386,387,381,382
Partition 1	389,384,383,380,388
sol	20
T	1
cut	3
Partition 0	379,385,378,386,381
Partition 1	389,384,382,383,380,387,388
sol	21
T	1
cut	3
Partition 0	379,385,378,386,387,381,380
Partition 1	389,384,382,383,388
sol	22
T	1
cut	2
Partition 0	379,385,378,386,387,382,383
Partition 1	389,381,384,380,388
sol	23
T	1
cut	3
Partition 0	379,385,378,386,382
Partition 1	389,381,384,383,380,387,388
sol	24
T	1
cut	3
Partition 0	379,385,378,386,387,382,380
Partition 1	389,381,384,383,388
sol	25
T	1
cut	3
Partition 0	379,385,378,386,380
Partition 1	389,381,384,382,383,387,388
sol	26
T	1
cut	3
Partition 0	385,386,387,388,389,380
Partition 1	381,384,382,383,379,378
sol	27
T	1
cut	3
Partition 0	385,378,387,388,389,380
Partition 1	381,384,382,383,379,386
sol	28
T	1
cut	3
Partition 0	379,385,387,388,389,380
Partition 1	381,384,382,383,378,386
sol	29
T	1
cut	4
Partition 0	379,385,378,386,381,382
Partition 1	389,384,383,380,387,388
sol	30
T	1
cut	4
Partition 0	379,385,378,386,381,380
Partition 1	389,384,382,383,387,388
sol	31
T	1
cut	3
Partition 0	379,385,378,386,382,383
Partition 1	389,381,384,380,387,388
sol	32
T	1
cut	4
Partition 0	379,385,378,386,382,380
Partition 1	389,381,384,383,387,388
sol	33
T	1
cut	4
Partition 0	385,386,387,388,389,381,384
Partition 1	382,383,380,379,378
sol	34
T	1
cut	4
Partition 0	385,378,387,388,389,381,384
Partition 1	382,383,380,379,386
sol	35
T	1
cut	4
Partition 0	386,387,388,389,384
Partition 1	381,382,383,380,379,385,378
sol	36
T	1
cut	2
Partition 0	386,387,388,389,380
Partition 1	381,384,382,383,379,385,378
sol	37
T	1
cut	4
Partition 0	385,386,387,388,389,384,380
Partition 1	381,382,383,379,378
sol	38
T	1
cut	4
Partition 0	385,378,387,388,389,384,380
Partition 1	381,382,383,379,386
sol	39
T	1
cut	4
Partition 0	385,387,388,389,380
Partition 1	381,384,382,383,379,378,386
sol	40
T	1
cut	4
Partition 0	379,385,387,388,389,381,384
Partition 1	382,383,380,378,386
sol	41
T	1
cut	4
Partition 0	379,385,387,388,389,384,380
Partition 1	381,382,383,378,386
sol	42
T	1
cut	3
Partition 0	379,385,378,381,382
Partition 1	389,384,383,380,386,387,388
sol	43
T	1
cut	4
Partition 0	379,385,378,386,381,382,383
Partition 1	389,384,380,387,388
sol	44
T	1
cut	3
Partition 0	379,385,378,381,380
Partition 1	389,384,382,383,386,387,388
sol	45
T	1
cut	4
Partition 0	379,378,386,382,383
Partition 1	389,381,384,380,385,387,388
sol	46
T	1
cut	2
Partition 0	379,385,378,382,383
Partition 1	389,381,384,380,386,387,388
sol	47
T	1
cut	3
Partition 0	379,385,378,382,380
Partition 1	389,381,384,383,386,387,388
sol	48
T	1
cut	4
Partition 0	379,385,378,386,382,383,380
Partition 1	389,381,384,387,388
