path	1
T	3
cut	7
Partition 0	804,805,799,798,802
Partition 1	817,800,807,808,809,816,803
Partition 2	810,811,812,813,797,801,796
Partition 3	815,806,814
path	2
T	2
cut	6
Partition 0	804,805,799,798,806,811
Partition 1	817,800,807,808,809,816
Partition 2	810,812,813,814,815
Partition 3	797,801,802,803,796
path	3
T	2
cut	5
Partition 0	804,805,799,798,806,815
Partition 1	817,800,807,808,809,816
Partition 2	810,811,812,813,814,797
Partition 3	801,802,803,796
path	4
T	2
cut	5
Partition 0	804,805,799,798,806,815
Partition 1	817,800,807,808,809,816
Partition 2	810,811,812,813,814,797
Partition 3	801,802,803,796
path	5
T	2
cut	6
Partition 0	805,799,806
Partition 1	817,800,807,808,809,816,815
Partition 2	810,811,812,813,814
Partition 3	797,801,802,803,796,798,804
path	6
T	2
cut	5
Partition 0	804,805,799,798,806
Partition 1	817,800,807,808,809,816
Partition 2	810,811,812,813,814,815
Partition 3	797,801,802,803,796
path	7
T	2
cut	6
Partition 0	804,805,799,798
Partition 1	817,800,807,808,809,816
Partition 2	810,812,813,814,806,815
Partition 3	797,801,802,803,796,811
path	8
T	2
cut	5
Partition 0	804,805,799,798,806
Partition 1	817,800,807,808,809,816,815
Partition 2	810,811,812,813,814
Partition 3	797,801,802,803,796
path	9
T	2
cut	5
Partition 0	804,805,799,798,806
Partition 1	817,800,807,808,809,816,815
Partition 2	810,811,812,813,814
Partition 3	797,801,802,803,796
path	10
T	2
cut	5
Partition 0	804,805,799,798,806
Partition 1	817,800,807,808,809,816
Partition 2	810,811,812,813,814,815
Partition 3	797,801,802,803,796
