cut	42
Partition 0	3572,3573
Partition 1	3537,3538
Partition 2	3539,3522,3541
Partition 3	3534,3533
Partition 4	3535,3543,3542
Partition 5	3544,3532,3546,3545
Partition 6	3585,3586
Partition 7	3581,3582,3528
Partition 8	3580,3583,3584
Partition 9	3575,3576,3577
Partition 10	3588,3587,3540
Partition 11	3578,3525,3579
Partition 12	3574,3526
Partition 13	3530,3527,3531
Partition 14	3549,3523,3536
Partition 15	3520,3571
Partition 16	3547,3548,3550
Partition 17	3551,3570,3569
Partition 18	3556,3557,3555
Partition 19	3554,3559,3558
Partition 20	3560,3568
Partition 21	3566,3567
Partition 22	3563,3564,3562
Partition 23	3524,3529,3561
Partition 24	3552,3553,3521,3565
