path	1
T	15
cut	59
Partition 0	3562,3601,3602,3608,3609
Partition 1	3545,3546,3599,3523,3600
Partition 2	3524,3559,3616,3615,3617
Partition 3	3598,3610,3611,3614,3612,3613
Partition 4	3574,3575,3586,3587
Partition 5	3565,3566,3589,3567,3588
Partition 6	3520,3592,3593,3594,3596,3595,3597
Partition 7	3572,3590,3591,3521,3570
Partition 8	3568,3569,3573,3584,3583,3585
Partition 9	3581,3564,3525
Partition 10	3550,3605,3606,3607,3571
Partition 11	3577,3580,3578,3579,3582
Partition 12	3576,3603,3604,3522
Partition 13	3549,3548,3528,3529,3547
Partition 14	3543,3544,3558,3542,3557
Partition 15	3527,3530,3535,3531,3536
Partition 16	3552,3538,3553,3526,3534,3554,3555
Partition 17	3540,3541,3539,3537
Partition 19	3561
Partition 20	3556
Partition 21	3533
Partition 22	3532
Partition 23	3551
Partition 25	3563
Partition 28	3560
path	2
T	9
cut	63
Partition 0	3561,3562,3601,3602,3608,3609
Partition 1	3545,3546,3599,3523,3600
Partition 2	3559,3616,3615,3617
Partition 3	3598,3610,3611,3614,3612,3613
Partition 4	3574,3575,3586,3587
Partition 5	3560,3566,3563,3589,3567,3588
Partition 6	3594,3596,3595,3597
Partition 7	3538,3572,3590,3591,3521,3570
Partition 8	3568,3569,3573,3584,3583,3585
Partition 9	3565,3551,3581,3564,3582
Partition 10	3550,3605,3606,3607,3571
Partition 11	3577,3580,3578,3579
Partition 12	3576,3603,3604,3522
Partition 13	3549,3556,3548,3547
Partition 14	3543,3544,3558,3542,3557
Partition 15	3540,3527,3530,3535,3536,3539,3528
Partition 16	3552,3553,3555
Partition 17	3533,3541,3534,3537
Partition 18	3524
Partition 19	3526
Partition 21	3529
Partition 22	3531
Partition 23	3532
Partition 24	3554
Partition 26	3525
Partition 27	3520,3592,3593
path	3
T	14
cut	61
Partition 0	3561,3562,3601,3602,3608,3609
Partition 1	3545,3546,3599,3523,3600
Partition 2	3524,3559,3616,3615,3617
Partition 3	3610,3611,3614,3612,3613
Partition 4	3574,3575,3586,3587
Partition 5	3560,3566,3563,3589,3567,3588
Partition 6	3594,3596,3595,3597
Partition 7	3572,3590,3591,3521,3570
Partition 8	3568,3569,3573,3584,3583
Partition 9	3581,3564,3525
Partition 10	3550,3605,3606,3607,3571
Partition 11	3577,3580,3578,3579
Partition 12	3520,3532,3576,3603,3604,3522
Partition 13	3549,3548,3528,3529,3547
Partition 14	3543,3544,3558
Partition 15	3527,3530,3535,3531,3536
Partition 16	3552,3538,3553,3526,3534,3554,3555
Partition 17	3540,3541,3539,3537
Partition 19	3556
Partition 20	3565
Partition 21	3551
Partition 24	3557
Partition 25	3585
Partition 27	3582
Partition 28	3533
Partition 31	3542
Partition 32	3592,3593
Partition 33	3598
path	4
T	12
cut	58
Partition 0	3562,3601,3602,3608,3609
Partition 1	3545,3546,3599,3523,3600
Partition 2	3524,3559,3616,3615,3617
Partition 3	3610,3611,3614,3612,3613
Partition 4	3574,3575,3586,3587
Partition 5	3565,3566,3589,3567,3588
Partition 6	3520,3592,3593,3594,3595
Partition 7	3561,3572,3590,3591,3521,3570
Partition 8	3568,3569,3573,3584,3583,3585
Partition 9	3581,3564,3525
Partition 10	3550,3605,3606,3607,3571
Partition 11	3577,3580,3578,3579
Partition 12	3576,3603,3604,3522
Partition 13	3549,3548,3528,3529,3547
Partition 14	3543,3544,3558,3542,3557
Partition 15	3527,3530,3535,3531,3536
Partition 16	3551,3552,3538,3553,3526,3554,3555
Partition 17	3540,3541,3539,3537
Partition 19	3556
Partition 20	3596,3597
Partition 21	3560,3563
Partition 22	3582
Partition 25	3598
Partition 26	3532,3533,3534
path	5
T	15
cut	61
Partition 0	3562,3601,3602,3608,3609
Partition 1	3545,3546,3599,3523,3600
Partition 2	3524,3559,3616,3615,3617
Partition 3	3598,3610,3611,3614,3597,3612,3613
Partition 4	3575,3586,3587
Partition 5	3560,3566,3563,3589,3567,3588
Partition 6	3520,3592,3593,3594,3595
Partition 7	3572,3590,3591,3521,3570
Partition 8	3568,3569,3573,3584,3583,3585
Partition 9	3581,3582
Partition 10	3550,3605,3606,3607,3571
Partition 11	3565,3577,3564,3580,3578,3579
Partition 12	3532,3603,3604,3522
Partition 13	3549,3548,3528,3529,3547
Partition 14	3543,3544,3558,3542,3557
Partition 15	3527,3530,3535,3531,3536
Partition 16	3552,3538,3539,3553,3526,3554,3555
Partition 17	3533,3541,3534,3537
Partition 18	3556
Partition 20	3574
Partition 22	3561
Partition 26	3525
Partition 27	3551
Partition 28	3596
Partition 29	3540
Partition 30	3576
