cut	54
Partition 0	3605,3607,3606
Partition 1	3601,3602,3603,3604
Partition 2	3579,3580,3581,3582
Partition 3	3573,3574,3584,3583
Partition 4	3599,3608,3598,3609,3597
Partition 5	3567,3538,3539,3556
Partition 6	3555,3526,3554,3553
Partition 7	3527,3578,3528,3537
Partition 8	3562,3561,3563,3564
Partition 9	3558,3557,3566,3565
Partition 10	3532,3525,3559,3600,3521,3560
Partition 11	3611,3610,3572,3520
Partition 12	3543,3571,3542,3531
Partition 13	3540,3548,3524,3541
Partition 14	3534,3535,3576,3577
Partition 15	3536,3529,3530,3575
Partition 16	3568,3569,3570,3552
Partition 17	3592,3590,3533,3549
Partition 18	3522,3544,3545,3550,3551
Partition 19	3588,3585,3586,3587
Partition 20	3593,3596,3594,3595
Partition 21	3546,3547,3589,3523,3591
