iteration	t
1	8,10,28,41,47,56,58,63,66,155,157,178,179,190,195,273,2641,3007,6178,6499
2	9,30,43,82,282,327,342,390,428,430,459,477,526,588,600,610,750,906,925,967,1256,1923,2849
3	9,15,42,43,44,48,58,73,81,93,98,101,186,727,730,760,768,897,1036,3125
4	9,12,17,34,40,51,54,229,280,346,912,1397,1451,1525,2112,2136,2381,2879
5	20,25,32,58,66,126,190,218,247,320,325,336,491,718,1157,1252,3568,3601
6	1600,2008,4450,4979,4992,5011,8896
7	16,225,3878
8	12,239,1665,4595,5276,5398
9	37,546,743,2541,4172,12360
10	1930
