path	1
T	NA
cut	41
Partition 0	46,21,37,30,25,26,42,59
Partition 1	6,28,9,12,38,15,45,52,60
Partition 2	8,13,11,20,33,36,5,56,61
Partition 3	2,19,17,22,31,65,63,68,69
Partition 4	0,53,7,34,64,66,50,51,57
Partition 5	16,47,27,54,35,1,58,40
Partition 6	62,14,49,39,23,3,67,10,24
Partition 7	4,48,18,32,41,29,55,44,43
path	2
T	NA
cut	41
Partition 0	46,21,37,30,25,26,42,59
Partition 1	6,28,9,12,38,15,45,52,60
Partition 2	8,13,11,20,33,36,5,56,61
Partition 3	2,19,17,22,31,65,63,68,69
Partition 4	0,53,7,34,64,66,50,51,57
Partition 5	16,47,27,54,35,1,58,40
Partition 6	62,14,49,39,23,3,67,10,24
Partition 7	4,48,18,32,41,29,55,44,43
path	3
T	NA
cut	41
Partition 0	46,21,37,30,25,26,42,59
Partition 1	6,28,9,12,38,15,45,52,60
Partition 2	8,13,11,20,33,36,5,56,61
Partition 3	2,19,17,22,31,65,63,68,69
Partition 4	0,53,7,34,64,66,50,51,57
Partition 5	16,47,27,54,35,1,58,40
Partition 6	62,14,49,39,23,3,67,10,24
Partition 7	4,48,18,32,41,29,55,44,43
