cut	55
Partition 0	14,47,51
Partition 1	2,78,56
Partition 2	72,55,48
Partition 3	31,58
Partition 4	33,43,59
Partition 5	46,60
Partition 6	76,22,28
Partition 7	20,4
Partition 8	1,65,0
Partition 9	17,36,49
Partition 10	42,27,71
Partition 11	3,52,68
Partition 12	75,13,73
Partition 13	12,18,64,21
Partition 14	41,34
Partition 15	79,26,32
Partition 16	23,24,62
Partition 17	54,57
Partition 18	7,77,67
Partition 19	30,29,45
Partition 20	19,37,15,40
Partition 21	6,8
Partition 22	9,53,35
Partition 23	25,39,69
Partition 24	50,70,38
Partition 25	11,16,63
Partition 26	5,10,61
Partition 27	44,66,74
