path	1
T	3
cut	9
Partition 0	5,6,7,10,14,20,23,24,27,29
Partition 1	0,13,17,19,22,34,33
Partition 2	1,3,8,11,32,36,38
Partition 3	2,12,4,9,25,26,28,31
Partition 4	15,18,16,21,30,35,37,39
path	2
T	3
cut	9
Partition 0	5,6,7,10,14,20,23,24,27,29
Partition 1	0,13,17,19,22,34,33
Partition 2	1,3,8,11,32,36,38
Partition 3	2,12,4,9,25,26,28,31
Partition 4	15,18,16,21,30,35,37,39
path	3
T	3
cut	9
Partition 0	5,6,7,10,14,20,23,24,27,29
Partition 1	0,13,17,19,22,34,33
Partition 2	1,3,8,11,32,36,38
Partition 3	2,12,4,9,25,26,28,31
Partition 4	15,18,16,21,30,35,37,39
