path	1
T	NA
cut	20
Partition 0	2,15,65,4,6,44,51
Partition 1	0,14,57,33,64,67,76
Partition 2	9,34,17,21,68,49,58
Partition 3	11,29,32,48,61,55,66,73
Partition 4	1,18,26,63,74,35,77,78
Partition 5	22,31,60,69,75,79
Partition 6	3,24,38,39,47,54,50
Partition 7	8,13,20,30,42,52
Partition 8	5,7,12,16,25,40,43,53,72
Partition 9	10,23,45,59,41,46,56,70
Partition 10	19,27,28,62,71,36,37
path	2
T	NA
cut	20
Partition 0	2,15,65,4,6,44,51
Partition 1	0,14,57,33,64,67,76
Partition 2	9,34,17,21,68,49,58
Partition 3	11,29,32,48,61,55,66,73
Partition 4	1,18,26,63,74,35,77,78
Partition 5	22,31,60,69,75,79
Partition 6	3,24,38,39,47,54,50
Partition 7	8,13,20,30,42,52
Partition 8	5,7,12,16,25,40,43,53,72
Partition 9	10,23,45,59,41,46,56,70
Partition 10	19,27,28,62,71,36,37
path	3
T	NA
cut	20
Partition 0	2,15,65,4,6,44,51
Partition 1	0,14,57,33,64,67,76
Partition 2	9,34,17,21,68,49,58
Partition 3	11,29,32,48,61,55,66,73
Partition 4	1,18,26,63,74,35,77,78
Partition 5	22,31,60,69,75,79
Partition 6	3,24,38,39,47,54,50
Partition 7	8,13,20,30,42,52
Partition 8	5,7,12,16,25,40,43,53,72
Partition 9	10,23,45,59,41,46,56,70
Partition 10	19,27,28,62,71,36,37
