cut	50
Partition 0	33,68
Partition 1	29,48,78
Partition 2	51,56,74
Partition 3	1,27,35
Partition 4	31,8,49
Partition 5	43,70,75
Partition 6	6,15,65
Partition 7	20,14
Partition 8	73,24,39
Partition 9	3,63,64
Partition 10	13,23,61
Partition 11	0,28,44,57
Partition 12	54,77
Partition 13	12,19,47,55
Partition 14	38,76
Partition 15	2,9,37
Partition 16	42,10,79
Partition 17	17,41,67
Partition 18	26,52
Partition 19	5,60,62
Partition 20	11,25,45
Partition 21	34,71
Partition 22	4,58,69
Partition 23	22,32,40
Partition 24	21,59,72
Partition 25	7,53,36
Partition 26	16,46,66
Partition 27	18,30,50
