cut	47
Partition 0	61,70,79
Partition 1	0,65,77
Partition 2	16,20,46,52
Partition 3	5,25,35
Partition 4	18,23,38,72
Partition 5	47,48,49
Partition 6	2,57,82,89
Partition 7	6,59
Partition 8	8,17,87
Partition 9	34,45,73
Partition 10	9,21,44
Partition 11	62,74,81
Partition 12	53,80,83
Partition 13	28,41,43
Partition 14	11,24,29
Partition 15	7,33,56,85
Partition 16	27,68,51
Partition 17	13,26,30,67
Partition 18	19,78,22
Partition 19	10,60,31,54
Partition 20	32,71,39,75
Partition 21	12,36,69
Partition 22	50,55,58
Partition 23	1,63,64,84
Partition 24	3,4,40
Partition 25	15,42
Partition 26	14,66,86
Partition 27	37,76,88
