path	1
T	NA
cut	98
Partition 0	5,81,38,6,17,61,80
Partition 1	67,88,70,16,85,78,95,36
Partition 2	10,33,32,82,24,43,87,21
Partition 3	45,12,53,11,40,25,28
Partition 4	94,4,35,90,93,74,76,56
Partition 5	9,66,2,75,42,41,14,54
Partition 6	18,50,99,13,83,91,62
Partition 7	27,97,64,71,77,22,34,30
Partition 8	48,1,39,58,98,29,52,19
Partition 9	89,68,63,55,72,44,79
Partition 10	86,46,92,37,15,60,84,23
Partition 11	0,57,3,59,31,65,20,96
Partition 12	73,7,47,26,8,49,69,51
path	2
T	NA
cut	98
Partition 0	5,81,38,6,17,61,80
Partition 1	67,88,70,16,85,78,95,36
Partition 2	10,33,32,82,24,43,87,21
Partition 3	45,12,53,11,40,25,28
Partition 4	94,4,35,90,93,74,76,56
Partition 5	9,66,2,75,42,41,14,54
Partition 6	18,50,99,13,83,91,62
Partition 7	27,97,64,71,77,22,34,30
Partition 8	48,1,39,58,98,29,52,19
Partition 9	89,68,63,55,72,44,79
Partition 10	86,46,92,37,15,60,84,23
Partition 11	0,57,3,59,31,65,20,96
Partition 12	73,7,47,26,8,49,69,51
path	3
T	NA
cut	98
Partition 0	5,81,38,6,17,61,80
Partition 1	67,88,70,16,85,78,95,36
Partition 2	10,33,32,82,24,43,87,21
Partition 3	45,12,53,11,40,25,28
Partition 4	94,4,35,90,93,74,76,56
Partition 5	9,66,2,75,42,41,14,54
Partition 6	18,50,99,13,83,91,62
Partition 7	27,97,64,71,77,22,34,30
Partition 8	48,1,39,58,98,29,52,19
Partition 9	89,68,63,55,72,44,79
Partition 10	86,46,92,37,15,60,84,23
Partition 11	0,57,3,59,31,65,20,96
Partition 12	73,7,47,26,8,49,69,51
