cut	92
Partition 0	58,2
Partition 1	36,38
Partition 2	59,34,61
Partition 3	39,37
Partition 4	40,60,41
Partition 5	45,44,46
Partition 6	30,29
Partition 7	25,23
Partition 8	42,27,26
Partition 9	65,52
Partition 10	64,19,28
Partition 11	13,14
Partition 12	4,17,15,16
Partition 13	55,53
Partition 14	22,24
Partition 15	57,18,20
Partition 16	48,50
Partition 17	43,21,12
Partition 18	69,1
Partition 19	0,67,68,66
Partition 20	32,31
Partition 21	7,6,8
Partition 22	11,10,9
Partition 23	5,3
Partition 24	63,56,54
Partition 25	47,49,51
Partition 26	35,33,62
