path	1
T	NA
cut	56
Partition 0	40,29,39,46,30,37,38
Partition 1	5,4,6,7,9,8,10
Partition 2	27,28,22,21,23,24,25,26
Partition 3	49,18,17,19,48,20,47
Partition 4	55,11,12,13,14,16,15
Partition 5	1,0,78,77,2,76,75
Partition 6	43,44,42,32,34,41,45
Partition 7	53,36,52,51,54,33,35,50
Partition 8	79,73,72,74,31,70,71
Partition 9	62,56,57,59,58,60,61
Partition 10	3,63,64,69,68,66,65,67
path	2
T	NA
cut	56
Partition 0	40,29,39,46,30,37,38
Partition 1	5,4,6,7,9,8,10
Partition 2	27,28,22,21,23,24,25,26
Partition 3	49,18,17,19,48,20,47
Partition 4	55,11,12,13,14,16,15
Partition 5	1,0,78,77,2,76,75
Partition 6	43,44,42,32,34,41,45
Partition 7	53,36,52,51,54,33,35,50
Partition 8	79,73,72,74,31,70,71
Partition 9	62,56,57,59,58,60,61
Partition 10	3,63,64,69,68,66,65,67
path	3
T	NA
cut	56
Partition 0	40,29,39,46,30,37,38
Partition 1	5,4,6,7,9,8,10
Partition 2	27,28,22,21,23,24,25,26
Partition 3	49,18,17,19,48,20,47
Partition 4	55,11,12,13,14,16,15
Partition 5	1,0,78,77,2,76,75
Partition 6	43,44,42,32,34,41,45
Partition 7	53,36,52,51,54,33,35,50
Partition 8	79,73,72,74,31,70,71
Partition 9	62,56,57,59,58,60,61
Partition 10	3,63,64,69,68,66,65,67
