cut	88
Partition 0	34,33,35
Partition 1	78,37,38,36
Partition 2	40,42,41,39
Partition 3	24,23,25
Partition 4	31,30,32
Partition 5	26,27,29,28
Partition 6	22,44,45,43
Partition 7	14,15,16,17
Partition 8	18,19,20,21
Partition 9	6,5,7
Partition 10	51,49,50
Partition 11	9,46,48,47
Partition 12	80,79,77
Partition 13	2,4,8,76
Partition 14	0,1,89,88
Partition 15	3,12,10
Partition 16	81,84,82,83
Partition 17	85,13,86,87
Partition 18	11,67,68
Partition 19	70,69,71
Partition 20	75,74,73,72
Partition 21	60,61,62
Partition 22	65,66,63,64
Partition 23	58,59,57
Partition 24	55,56,53,52,54
