cut	50
Partition 0	21,25
Partition 1	60,8
Partition 2	65,36,51
Partition 3	59,61
Partition 4	22,18,35
Partition 5	39,20,54
Partition 6	67,52
Partition 7	10,38
Partition 8	4,64,37
Partition 9	62,41,63
Partition 10	24,58
Partition 11	19,53
Partition 12	13,23,27,66
Partition 13	69,50
Partition 14	45,15,0
Partition 15	3,7,14
Partition 16	57,42
Partition 17	33,47,6
Partition 18	9,32
Partition 19	2,43,5,16
Partition 20	1,17,11
Partition 21	68,49
Partition 22	46,56
Partition 23	34,28,29
Partition 24	40,55,26
Partition 25	12,48
Partition 26	30,31,44
