path	1
T	5
cut	18
Partition 0	132,144,145,146,133
Partition 1	149,147,171,140,148,172
Partition 2	138,143,151,152,139
Partition 3	155,153,169,150,154,170
Partition 4	157,158,173,156,174
Partition 5	134,142,161,159,135,160
Partition 6	136,141,163,167,137,168
Partition 7	164,165,175,162,166,176
path	2
T	5
cut	18
Partition 0	132,144,145,146,133
Partition 1	149,147,171,140,148,172
Partition 2	138,143,151,152,139
Partition 3	155,153,169,150,154,170
Partition 4	157,158,173,156,174
Partition 5	134,142,161,159,135,160
Partition 6	136,141,163,167,137,168
Partition 7	164,165,175,162,166,176
path	3
T	5
cut	18
Partition 0	132,144,145,146,133
Partition 1	149,147,171,140,148,172
Partition 2	138,143,151,152,139
Partition 3	155,153,169,150,154,170
Partition 4	157,158,173,156,174
Partition 5	134,142,161,159,135,160
Partition 6	136,141,163,167,137,168
Partition 7	164,165,175,162,166,176
path	4
T	5
cut	18
Partition 0	132,144,145,146,133
Partition 1	149,147,171,140,148,172
Partition 2	138,143,151,152,139
Partition 3	155,153,169,150,154,170
Partition 4	157,158,173,156,174
Partition 5	134,142,161,159,135,160
Partition 6	136,141,163,167,137,168
Partition 7	164,165,175,162,166,176
path	5
T	5
cut	18
Partition 0	132,144,145,146,133
Partition 1	149,147,171,140,148,172
Partition 2	138,143,151,152,139
Partition 3	155,153,169,150,154,170
Partition 4	157,158,173,156,174
Partition 5	134,142,161,159,135,160
Partition 6	136,141,163,167,137,168
Partition 7	164,165,175,162,166,176
path	6
T	5
cut	18
Partition 0	132,144,145,146,133
Partition 1	149,147,171,140,148,172
Partition 2	138,143,151,152,139
Partition 3	155,153,169,150,154,170
Partition 4	157,158,173,156,174
Partition 5	134,142,161,159,135,160
Partition 6	136,141,163,167,137,168
Partition 7	164,165,175,162,166,176
path	7
T	5
cut	18
Partition 0	132,144,145,146,133
Partition 1	149,147,171,140,148,172
Partition 2	138,143,151,152,139
Partition 3	155,153,169,150,154,170
Partition 4	157,158,173,156,174
Partition 5	134,142,161,159,135,160
Partition 6	136,141,163,167,137,168
Partition 7	164,165,175,162,166,176
path	8
T	5
cut	18
Partition 0	132,144,145,146,133
Partition 1	149,147,171,140,148,172
Partition 2	138,143,151,152,139
Partition 3	155,153,169,150,154,170
Partition 4	157,158,173,156,174
Partition 5	134,142,161,159,135,160
Partition 6	136,141,163,167,137,168
Partition 7	164,165,175,162,166,176
path	9
T	5
cut	18
Partition 0	132,144,145,146,133
Partition 1	149,147,171,140,148,172
Partition 2	138,143,151,152,139
Partition 3	155,153,169,150,154,170
Partition 4	157,158,173,156,174
Partition 5	134,142,161,159,135,160
Partition 6	136,141,163,167,137,168
Partition 7	164,165,175,162,166,176
path	10
T	5
cut	18
Partition 0	132,144,145,146,133
Partition 1	149,147,171,140,148,172
Partition 2	138,143,151,152,139
Partition 3	155,153,169,150,154,170
Partition 4	157,158,173,156,174
Partition 5	134,142,161,159,135,160
Partition 6	136,141,163,167,137,168
Partition 7	164,165,175,162,166,176
