cut	93
Partition 0	1175,1094,1122,1174
Partition 1	1224,1171,1225,1155,1156
Partition 2	1085,1125,1093,1126,1086
Partition 3	1176,1132,1133,1177,1178
Partition 4	1134,1116,1135,1136
Partition 5	1179,1180,1181,1191,1190
Partition 6	1127,1128,1172,1173,1129
Partition 7	1201,1202,1204,1130
Partition 8	1148,1149,1205,1203,1206
Partition 9	1151,1138,1153,1154,1152
Partition 10	1123,1124,1131,1150,1137
Partition 11	1207,1192,1209,1210,1208
Partition 12	1232,1231,1217,1229,1230
Partition 13	1160,1167,1169,1170,1168
Partition 14	1212,1213,1157,1158,1159
Partition 15	1196,1197,1200,1199
Partition 16	1195,1193,1092,1198,1194
Partition 17	1226,1219,1227,1223,1228
Partition 18	1090,1096,1186,1112,1113
Partition 19	1139,1140,1142,1218,1143
Partition 20	1187,1144,1185,1189,1188
Partition 21	1161,1162,1165,1163,1164
Partition 22	1087,1109,1141,1110,1088
Partition 23	1234,1115,1233,1211,1166
Partition 24	1214,1098,1215,1216
Partition 25	1100,1101,1221,1220,1222
Partition 26	1145,1095,1097,1146,1147
Partition 27	1089,1102,1104,1111,1103
Partition 28	1106,1099,1107,1108,1105
Partition 29	1117,1118,1121,1119,1120
Partition 30	1114,1182,1183,1091,1184
