Start cell number	Iteration	End cell number	Gate Number Per Cell	Gate Number Distribution
47	1	37	1,2,3,4,5	1,7,6,9,14
47	2	36	1,2,3,4,5	2,7,3,6,18
47	3	38	1,2,3,4,5	4,4,9,5,16
48	1	36	1,2,3,4,5	1,4,9,7,15
48	2	39	1,2,3,4,5	2,6,11,8,12
48	3	37	2,3,4,5	6,8,12,11
48	4	37	1,2,3,4,5	2,2,12,8,13
48	5	35	2,3,4,5	4,8,8,15
48	6	36	2,3,4,5	5,7,12,12
48	7	36	1,2,3,4,5	1,4,9,7,15
48	8	38	1,2,3,4,5	2,4,12,7,13
48	9	38	1,2,3,4,5	1,7,7,12,11
48	10	35	1,2,3,4,5	1,1,12,5,16
49	1	35	1,2,3,4,5	1,2,10,6,16
49	2	37	1,2,3,4,5	2,5,7,9,14
49	3	38	1,2,3,4,5	2,6,9,7,14
49	4	37	1,2,3,4,5	2,7,5,7,16
49	5	35	1,2,3,4,5	1,2,9,8,15
49	6	39	1,2,3,4,5	5,3,8,11,12
49	7	35	2,3,4,5	4,8,8,15
49	8	35	2,3,4,5	6,4,10,15
49	9	37	1,2,3,4,5	2,4,10,6,15
49	10	38	1,2,3,4,5	1,6,9,11,11
50	1	39	1,2,3,4,5	5,5,8,5,16
50	2	38	1,2,3,4,5	1,8,7,9,13
50	3	36	1,2,3,4,5	1,4,9,7,15
50	4	39	1,2,3,4,5	4,3,14,3,15
50	5	38	1,2,3,4,5	2,4,11,9,12
50	6	40	1,2,3,4,5	3,8,9,7,13
50	7	38	1,2,3,4,5	3,8,6,3,18
50	8	38	1,2,3,4,5	3,6,7,7,15
50	9	38	1,2,3,4,5	5,3,7,8,15
50	10	36	1,2,3,4,5	1,4,10,5,16
51	1	36	1,2,3,4,5	1,4,10,5,16
51	2	35	2,3,4,5	4,10,4,17
51	3	35	2,3,4,5	5,8,5,17
51	4	38	2,3,4,5	9,10,4,15
51	5	34	2,3,4,5	3,6,10,15
51	6	38	1,2,3,4,5	3,4,10,7,14
51	7	36	1,2,3,4,5	3,3,9,2,19
51	8	35	1,2,3,4,5	1,3,8,7,16
51	9	35	1,2,3,4,5	1,1,12,5,16
51	10	37	1,2,3,4,5	2,6,6,8,15
52	1	37	2,3,4,5	7,9,7,14
52	2	38	1,2,3,4,5	3,6,8,5,16
52	3	38	1,2,3,4,5	3,3,10,10,12
52	4	37	1,2,3,4,5	1,6,9,6,15
52	5	38	1,2,3,4,5	1,8,8,7,14
52	6	38	1,2,3,4,5	2,6,10,5,15
52	7	37	1,2,3,4,5	1,3,13,7,13
52	8	36	1,2,3,4,5	3,3,7,6,17
52	9	36	2,3,4,5	5,10,6,15
52	10	37	1,2,3,4,5	1,4,13,4,15
53	1	39	1,2,3,4,5	2,7,11,5,14
53	2	39	1,2,3,4,5	3,9,5,7,15
53	3	37	1,2,3,4,5	1,5,12,3,16
53	4	40	1,2,3,4,5	4,6,10,7,13
53	5	39	1,2,3,4,5	2,6,13,4,14
53	6	38	1,2,3,4,5	1,7,12,2,16
53	7	38	1,2,3,4,5	1,8,11,1,17
53	8	39	1,2,3,4,5	1,8,11,6,13
53	9	41	1,2,3,4,5	2,10,11,6,12
53	10	39	1,2,3,4,5	3,6,10,6,14
54	1	40	1,2,3,4,5	4,7,8,8,13
54	2	37	1,2,3,4,5	1,5,9,9,13
54	3	36	1,2,3,4,5	3,5,3,8,17
54	4	41	1,2,3,4,5	4,10,8,4,15
54	5	38	1,2,3,4,5	2,8,7,5,16
54	6	37	1,2,3,4,5	2,5,8,7,15
54	7	38	1,2,3,4,5	2,7,6,10,13
54	8	38	1,2,3,4,5	1,6,13,3,15
54	9	35	1,2,3,4,5	2,4,4,8,17
54	10	39	1,2,3,4,5	5,7,5,5,17
55	1	39	1,2,3,4,5	4,6,7,8,14
55	2	41	1,2,3,4,5	3,8,10,10,10
55	3	38	1,2,3,4,5	3,6,7,7,15
55	4	35	2,3,4,5	6,5,8,16
55	5	40	1,2,3,4,5	4,7,9,6,14
55	6	37	1,2,3,4,5	1,6,9,6,15
55	7	37	1,2,3,4,5	1,8,6,6,16
55	8	38	1,2,3,4,5	2,7,6,10,13
