iteration	t
1	13,24,36,49,52,81,86,102,120,129,143,175,178,187,195,199,207,224,240,269,287,331,364,489,508,518,525,622,675,751,828,839,887,988,1055,1089,1139,1239,1486,1786,1802,1845,1873,1933,2308,2440,2597,4020,4034,11348
2	49,63,65,77,81,86,108,142,157,158,219,269,286,316,331,361,363,386,444,448,490,576,627,638,645,672,677,687,689,724,812,826,840,848,849,962,1021,1027,1061,1238,1431,1459,1528,1806,2073,2078,2107,2213,2648,4314,5058,5902,6139,18038,18803,21922
3	4,16,21,24,37,38,78,95,97,159,162,164,196,197,202,209,228,322,333,407,416,427,459,466,490,492,538,548,560,658,761,804,809,812,923,965,1036,1198,1238,1273,1449,1707,2480,8491,28775
4	14,32,35,39,40,69,82,88,93,100,102,115,117,142,143,159,224,230,311,333,364,446,481,495,498,514,581,584,585,640,666,782,789,904,1063,1106,1228,1300,1432,1798,2144,2944,3035,3231,3257,3421,4139,6307,14447,22485,41551,75267,75464
5	5,14,16,17,24,82,106,107,110,120,136,146,154,212,225,239,248,252,259,266,268,313,317,330,338,339,385,417,461,491,537,540,560,575,695,865,883,1095,1261,1558,1648,1661,2033,2266,2639,2936,3714,3801,17328,23278,48015,119134,158590
6	5,10,33,41,58,66,74,99,104,106,116,139,143,168,196,243,308,310,390,395,437,478,492,506,508,559,575,589,638,665,791,801,834,850,860,924,931,953,1279,1802,1827,2018,2377,2887,3137,3405,3444,4152,4195,4343,12289
7	10,13,33,34,66,69,73,92,100,127,143,204,213,261,268,276,278,341,352,412,451,582,631,698,757,773,820,862,908,1078,1097,1115,1167,1206,1325,2319,2610,3342,3626,3858,3883,6385,7015,17678,21801
8	32,61,64,68,76,86,178,206,242,244,247,248,277,304,305,308,363,404,446,478,487,495,502,533,637,643,678,694,717,753,800,877,880,916,973,986,1031,1056,1301,1374,1520,1611,1664,1750,2036,2907,3426,3433,3710,4116,6882,7596,14686
9	8,17,27,31,46,56,73,84,96,107,137,145,151,176,181,195,255,396,400,414,467,484,496,497,503,546,555,584,592,758,760,803,850,897,1306,2592,2753,3392,3550,4012,4415,6510,6975,7008,8258,8779,9289,19095
10	13,22,25,46,47,97,112,126,152,159,161,170,213,222,301,309,354,358,361,506,512,565,577,592,601,610,692,753,769,819,820,832,833,857,959,1019,1055,1083,1128,1171,1231,1584,1618,2825,2839,3460,3595,6783,9115,20614,42335
