cut	108
Partition 1	2138,2139,2140
Partition 2	2129,2068
Partition 3	2142,2076
Partition 4	2066,2130
Partition 5	2133,2135,2134,2136,2137
Partition 6	2131,2132
Partition 7	2082,2083
Partition 8	2062
Partition 9	2063,2088,2089
Partition 10	2099,2100
Partition 11	2146,2147,2145,2148
Partition 12	2141,2149
Partition 13	2143,2144,2150,2151
Partition 14	2185
Partition 15	2077,2067
Partition 16	2081,2085,2084,2086
Partition 17	2090,2092
Partition 18	2065,2096,2097,2075
Partition 19	2078,2091
Partition 20	2094,2095
Partition 21	2079,2080
Partition 22	2098,2104,2105
Partition 23	2069,2111
Partition 24	2112,2113,2110
Partition 25	2093,2107,2106
Partition 26	2087,2109,2108
Partition 27	2176,2175,2178
Partition 28	2174,2179,2173,2177
Partition 29	2127,2128
Partition 30	2170,2169,2172
Partition 31	2167,2168,2154,2171
Partition 32	2153,2152
Partition 33	2161,2162,2165
Partition 34	2156,2155,2159
Partition 35	2070,2163
Partition 36	2158,2157,2160
Partition 37	2072,2074
Partition 38	2164,2166
Partition 39	2114,2071,2115
Partition 40	2118,2073,2119
Partition 41	2121
Partition 42	2120
Partition 43	2064,2125,2126
Partition 44	2180,2181
Partition 45	2187
Partition 46	2122,2123
Partition 47	2189,2188
Partition 48	2192,2191,2193,2194,2190
Partition 49	2124,2183,2182
Partition 50	2199,2200,2184
Partition 51	2196,2197,2198
Partition 52	2186,2195
Partition 53	2116,2117
Partition 54	2102,2103,2101
