cut	108
Partition 0	2198,a_o[0],2196,2195,2197
Partition 1	2200,a_o[1],2199,2185,2186
Partition 2	2080,2085,2084,2086,2081
Partition 3	b_i[1],2065,2079,2096,2075
Partition 4	s_i[1],2064,2187,2189
Partition 5	2191,2192,2193,2190,2194
Partition 6	2124,2183,2184,2182
Partition 7	2125,s_i[0],2126,2123,2188
Partition 8	round_i[1],2082,2094,round_i[0],2062
Partition 9	2063,2088,2099,2100,2089
Partition 10	a_i[1],2069,2112,2110
Partition 11	2111,2083,2087,2109,2108
Partition 12	2097,2095,2098,2105
Partition 13	2103,2093,2107,2106,2104
Partition 14	2077,2078,2090,2091,2092
Partition 15	2102,c_i[1],2101,d_i[1],2067
Partition 16	b_i[0],2066,2129,2142,2130
Partition 17	2138,c_i[0],2076,2139,2140
Partition 18	2131,2132,2145,d_i[0],2068
Partition 19	2135,2134,2136,2137,2133
Partition 20	2148,2141,2149,2147
Partition 21	2143,2144,2151,2150,2152
Partition 22	2113,2116,2117,2118
Partition 23	2146,m_i[1],2071,2115,2114
Partition 24	2127,2128,2174,2175,2172
Partition 25	2176,2173,2177,2178,2171
Partition 26	t_i[1],2073,2121,2122
Partition 27	2119,2120,2180,2179,2181
Partition 28	2155,2158,2160,t_i[0]
Partition 29	m_i[0],2072,2157,2156,2074
Partition 30	2165,2153,2154,2170,2167
Partition 31	a_i[0],2070,2162,2161,2159
Partition 32	2164,2163,2166,2168,2169
